Testcase ID,UI Type,Action,Read Type,Read Path,Data,URL
,button,click,id,signInBtn,,https://my.qa.petsure.com/signin
2.1.2.,assertionTextDisplayed,NA,id,userNameError,Please enter an email address,https://my.qa.petsure.com/signin
2.2.1,assertionTextDisplayed,NA,id,passwordError,Please enter a Password,https://my.qa.petsure.com/signin
2.1.1.,text,NA,id,username,rumana+90@intervest.lk,https://my.qa.petsure.com/signin
2.2.4.,text,NA,id,password,Test@123,https://my.qa.petsure.com/signin
,button,click,id,signInBtn,,https://my.qa.petsure.com/signin
,assertionTextDisplayed,NA,id,validationMsg,This Account has been temporarily locked.You can reset your password to unlock the account or contact our customer service team on 0333 006 3211 for further assistance.,https://my.qa.petsure.com/signin
,text,NA,id,username,teamcintervest.lk,https://my.qa.petsure.com/signin
,text,NA,id,password,abc,https://my.qa.petsure.com/signin
,button,click,id,signInBtn,,https://my.qa.petsure.com/signin
2.1.3.,assertionTextDisplayed,NA,id,loginFormatError,Please enter a valid email address,https://my.qa.petsure.com/signin
2.2.2.,assertionTextDisplayed,NA,id,pwdSignIn,"Your password will be 8-20 characters long, using a mix of upper and lower case letters and includes at least one number or special character (e.g. ! or *).",https://my.qa.petsure.com/signin
,text,NA,id,username,teamc@intervest.lk,https://my.qa.petsure.com/signin
,text,NA,id,password,Test@123,https://my.qa.petsure.com/signin
,button,click,id,signInBtn,,https://my.qa.petsure.com/signin
2.1.5.,assertionTextDisplayed,NA,id,validationMsg,"The email/password combination you have entered does not match any of our records, please try again.You can create an account here if you don’t have an account yet.",https://my.qa.petsure.com/signin
,text,NA,id,username,rumanabassu@yopmail.com,https://my.qa.petsure.com/signin
,text,NA,id,password,Test@123,https://my.qa.petsure.com/signin
,button,click,id,signInBtn,,https://my.qa.petsure.com/signin
2.1.6./ 2.2.4.,assertionElementDisplayed,NA,id,header_home,,https://my.qa.petsure.com/signin
